question_id,source_id,cluster_id,tag,status,paper_title,question_text,note_exists,note_path
PDF009_Q04,PDF009,C1,mechanism,Pending,"The Measurement of Wealth: Recessions, Sustainability and Inequality","How does the paper connect real-estate bubbles, capitalized rents, and sustainability mismeasurement?",true,03_notes/questions/PDF009_Q04.md
PDF009_Q05,PDF009,C1,policy/welfare,Pending,"The Measurement of Wealth: Recessions, Sustainability and Inequality",What is the missing-capital problem in recessions and how does it matter for policy interpretation?,true,03_notes/questions/PDF009_Q05.md
PDF009_Q06,PDF009,C1,mechanism,Pending,"The Measurement of Wealth: Recessions, Sustainability and Inequality",Which measurement distinctions should structure the opening of the literature review?,true,03_notes/questions/PDF009_Q06.md
PDF009_Q07,PDF009,C1,mechanism,Pending,"The Measurement of Wealth: Recessions, Sustainability and Inequality",What critical language can be used to connect this paper to localization rents and financialization?,true,03_notes/questions/PDF009_Q07.md
PDF010_Q01,PDF010,C1,research question,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit,What does Part IV add to the wealth-residual argument through land and credit?,true,03_notes/questions/PDF010_Q01.md
PDF010_Q02,PDF010,C1,mechanism,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit,"How do land rents, positional goods, and land bubbles explain increases in wealth and inequality?",true,03_notes/questions/PDF010_Q02.md
PDF010_Q03,PDF010,C1,policy/welfare,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit,"How do monetary policy, collateral requirements, and capital adequacy affect land values and inequality?",true,03_notes/questions/PDF010_Q03.md
PDF010_Q04,PDF010,C1,mechanism,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit,What is the mechanism by which land accumulation crowds out real capital accumulation?,true,03_notes/questions/PDF010_Q04.md
PDF010_Q05,PDF010,C1,policy/welfare,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit,How does land taxation reduce the gap between measured wealth and productive capital?,true,03_notes/questions/PDF010_Q05.md
PDF010_Q06,PDF010,C1,mechanism,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit,How does this paper anticipate later Hirano-Stiglitz credit-land-growth models?,true,03_notes/questions/PDF010_Q06.md
PDF010_Q07,PDF010,C1,formal result,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit,What are its most useful propositions for a critique of credit-led financialization?,true,03_notes/questions/PDF010_Q07.md
PDF011_Q01,PDF011,C1,research question,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual,What is the wealth residual and why can saving data not explain the rise in wealth-income ratios?,true,03_notes/questions/PDF011_Q01.md
PDF011_Q02,PDF011,C1,mechanism,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual,"How does the paper distinguish wealth, capital, and rents?",true,03_notes/questions/PDF011_Q02.md
PDF011_Q03,PDF011,C1,mechanism,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual,"What kinds of rents matter: land rents, exploitation rents, intellectual-property rents?",true,03_notes/questions/PDF011_Q03.md
PDF011_Q04,PDF011,C1,mechanism,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual,How are the new stylized facts of growth and distribution used to criticize standard capital-labor models?,true,03_notes/questions/PDF011_Q04.md
PDF011_Q05,PDF011,C1,mechanism,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual,What elements are foundational for later land-credit papers?,true,03_notes/questions/PDF011_Q05.md
PDF011_Q06,PDF011,C1,mechanism,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual,How should the literature review use this paper without overloading the memo with distribution theory?,true,03_notes/questions/PDF011_Q06.md
PDF011_Q07,PDF011,C1,mechanism,Pending,New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual,What bridges can be made to a heterodox/political-economy reading of rent and financialization?,true,03_notes/questions/PDF011_Q07.md
PDF012_Q01,PDF012,C4,research question,Pending,Land Bubbles Despite Non-Vanishing Rents,What empirical objection about stationary housing rent-yield ratios is this short paper answering?,true,03_notes/questions/PDF012_Q01.md
PDF012_Q02,PDF012,C4,mechanism,Pending,Land Bubbles Despite Non-Vanishing Rents,Why must housing rent be separated into rent on structures and pure land rent?,true,03_notes/questions/PDF012_Q02.md
PDF012_Q03,PDF012,C4,mechanism,Pending,Land Bubbles Despite Non-Vanishing Rents,How can a land bubble exist despite a non-vanishing or constant housing rent yield?,true,03_notes/questions/PDF012_Q03.md
PDF012_Q04,PDF012,C4,mechanism,Pending,Land Bubbles Despite Non-Vanishing Rents,What is the minimal model and what assumptions are essential?,true,03_notes/questions/PDF012_Q04.md
PDF012_Q05,PDF012,C4,evidence,Pending,Land Bubbles Despite Non-Vanishing Rents,How should this paper discipline the project’s use of empirical rent-price indicators?,true,03_notes/questions/PDF012_Q05.md
PDF012_Q06,PDF012,C4,evidence,Pending,Land Bubbles Despite Non-Vanishing Rents,What does it imply for Latin American housing/real-estate datasets that combine structures and land?,true,03_notes/questions/PDF012_Q06.md
PDF012_Q07,PDF012,C4,mechanism,Pending,Land Bubbles Despite Non-Vanishing Rents,What is the cleanest way to summarize this as a measurement warning in the final memo?,true,03_notes/questions/PDF012_Q07.md
PDF013_Q01,PDF013,C3,research question,Pending,"Credit, Land Speculation, and Long-Run Economic Growth",What is the sectoral-credit hypothesis in the paper?,true,03_notes/questions/PDF013_Q01.md
PDF013_Q02,PDF013,C3,mechanism,Pending,"Credit, Land Speculation, and Long-Run Economic Growth",How does the two-sector endogenous growth model separate manufacturing/productive capital from real estate/land?,true,03_notes/questions/PDF013_Q02.md
PDF013_Q03,PDF013,C3,mechanism,Pending,"Credit, Land Speculation, and Long-Run Economic Growth","What are the credit constraints and collateral parameters, and how do they shape investment allocation?",true,03_notes/questions/PDF013_Q03.md
PDF013_Q04,PDF013,C3,mechanism,Pending,"Credit, Land Speculation, and Long-Run Economic Growth",Why can lower collateral requirements or lower interest rates reduce rather than increase growth?,true,03_notes/questions/PDF013_Q04.md
PDF013_Q05,PDF013,C3,mechanism,Pending,"Credit, Land Speculation, and Long-Run Economic Growth",How does the model resolve the finite-land-price puzzle when the safe rate is below output growth?,true,03_notes/questions/PDF013_Q05.md
PDF013_Q06,PDF013,C3,mechanism,Pending,"Credit, Land Speculation, and Long-Run Economic Growth",What are the key differences between small-open-economy and closed-economy versions?,true,03_notes/questions/PDF013_Q06.md
PDF013_Q07,PDF013,C3,mechanism,Pending,"Credit, Land Speculation, and Long-Run Economic Growth",What should be extracted as the main answer to the project question on private credit and land-price inflation?,true,03_notes/questions/PDF013_Q07.md
PDF014_Q01,PDF014,C5,research question,Pending,"Land, G versus R, and Infinite Debt Rollover",What is new or cleaner in this CIGS version relative to PDF002?,true,03_notes/questions/PDF014_Q01.md
PDF014_Q02,PDF014,C5,mechanism,Pending,"Land, G versus R, and Infinite Debt Rollover","How does the paper formulate the relation between land, G versus R, and infinite debt rollover?",true,03_notes/questions/PDF014_Q02.md
PDF014_Q03,PDF014,C5,mechanism,Pending,"Land, G versus R, and Infinite Debt Rollover",Why does balanced growth in an economy with land tend to preclude debt rollover?,true,03_notes/questions/PDF014_Q03.md
PDF014_Q04,PDF014,C5,formal result,Pending,"Land, G versus R, and Infinite Debt Rollover",Under what unbalanced-growth conditions can land bubbles and debt rollover emerge?,true,03_notes/questions/PDF014_Q04.md
PDF014_Q05,PDF014,C5,mechanism,Pending,"Land, G versus R, and Infinite Debt Rollover",How does the paper revise McCallum’s claim about Pareto efficiency in land economies?,true,03_notes/questions/PDF014_Q05.md
PDF014_Q06,PDF014,C5,mechanism,Pending,"Land, G versus R, and Infinite Debt Rollover",What should the literature review say about using R versus G as a sufficient condition for rollover?,true,03_notes/questions/PDF014_Q06.md
PDF014_Q07,PDF014,C5,mechanism,Pending,"Land, G versus R, and Infinite Debt Rollover",What open questions remain for applying the model to fiscal and financialized-land regimes in Latin America?,true,03_notes/questions/PDF014_Q07.md
